velocity_row,x_index,return_index,x0,initial_xdot,initial_ydot,velocity_parameter,velocity_mode,h,hcrit,delta,side,segment_return_tau,cumulative_tau,R,theta,v,w,x,y,xdot,ydot,section_residual,energy_error
46,284,0,0.79020283378720357,-0.0010455462013257398,0.0044996208275971837,-0.22633333333333339,fraction,-2.3915268938607137,-2.3915368938607138,1.0000000000000001e-05,open,3.8489956542135686,3.8489956542135686,0.88694074741980611,-8.4703294725430034e-22,-0.0091048673972664688,0.55150613388657976,0.78666388943360432,-6.6633023276547693e-22,-0.013049377733477086,0.0037717698024924973,-8.4703294725430034e-22,-4.5611313637613191e-16
47,283,0,0.79018013204623938,-0.0009749161247060938,0.0045351717596416978,-0.21016666666666672,fraction,-2.3915268938607137,-2.3915368938607138,1.0000000000000001e-05,open,3.8781768704282826,3.8781768704282826,0.88688168190695293,4.2351647362715017e-22,-0.0092822681020215021,0.55152161497565844,0.78655911770210563,3.3312074382847832e-22,-0.013306292120532271,0.0040566713479440741,4.2351647362715017e-22,-4.5629542704336626e-16
48,282,0,0.79015743030527508,-0.00090387965864297296,0.0045706563258075686,-0.19399999999999995,fraction,-2.3915268938607137,-2.3915368938607138,1.0000000000000001e-05,open,3.91210329053497,3.91210329053497,0.88681807158107395,0,-0.0094690312674917294,0.55154650932730975,0.78644629208277483,0,-0.013576941504392814,0.0043753329125056917,0,-4.564918391851987e-16
49,281,0,0.79013472856431088,-0.00083237997971142706,0.0046060676268313916,-0.17783333333333329,fraction,-2.3915268938607137,-2.3915368938607138,1.0000000000000001e-05,open,3.9515134461695518,3.9515134461695518,0.88675048936212675,4.3334205581530005e-17,-0.0096615254440941458,0.55158433562045783,0.78632643038397121,3.4074831188449649e-17,-0.013856112203701155,0.0047302705879116447,4.3334205581530005e-17,-4.5670062357596732e-16
50,280,0,0.79011202682334669,-0.00076036111975992743,0.0046413952011926662,-0.16166666666666663,fraction,-2.3915268938607137,-2.3915368938607138,1.0000000000000001e-05,open,3.9972336228999525,3.9972336228999525,0.88668011032130656,1.0447685536260805e-15,-0.0098536418911944739,0.55163975162909351,0.78620161803940436,8.2139872733751273e-16,-0.01413500201803564,0.0051229590668474545,1.0447685536260805e-15,-4.5691816672527378e-16
51,279,0,0.7900893250823825,-0.00068776801461298872,0.0046766251576685815,-0.14549999999999996,fraction,-2.3915268938607137,-2.3915368938607138,1.0000000000000001e-05,open,4.0502747103592416,4.0502747103592416,0.88660886033832587,0,-0.010036111310544212,0.55171898127135044,0.78607527123042498,0,-0.014400224674986783,0.0055537812906611972,0,-4.571385251335962e-16
52,278,0,0.79006662334141819,-0.00061454654822539433,0.0047117403006741746,-0.1293333333333333,fraction,-2.3915268938607137,-2.3915368938607138,1.0000000000000001e-05,open,4.1119701234277439,4.1119701234277439,0.88653971438196211,-8.4703294725430034e-22,-0.010195207471016626,0.55183052152751233,0.7859526651764509,-6.6572780238678151e-22,-0.01463192551137645,0.0060217118873477915,-8.4703294725430034e-22,0
53,277,0,0.790043921600454,-0.00054064359227664618,0.0047467202484700599,-0.11316666666666664,fraction,-2.3915268938607137,-2.3915368938607138,1.0000000000000001e-05,open,4.1841933840467211,4.1841933840467211,0.88647727125431619,0,-0.010310321196459251,0.55198635861198564,0.78584195245049848,0,-0.014800261196671372,0.006523496577652721,0,-4.5754582334329465e-16
54,276,0,0.79002121985948981,-0.00046600704123113195,0.0047815415442560008,-0.096999999999999975,fraction,-2.3915268938607137,-2.3915368938607138,1.0000000000000001e-05,open,4.2697402818000088,4.2697402818000088,0.8864288851703912,-1.6940658945086007e-21,-0.010349270581615905,0.55220418339845334,0.78575616846442264,-1.3311227263953329e-21,-0.014858605188632896,0.0070517767838257361,-1.6940658945086007e-21,-4.5769569575163131e-16
55,275,0,0.78999851811852562,-0.00039058584292248267,0.0048161777601095357,-0.080833333333333313,fraction,-2.3915268938607137,-2.3915368938607138,1.0000000000000001e-05,open,4.3730820777641686,4.3730820777641686,0.88640704984266383,1.5052588624338281e-15,-0.010258556445827866,0.55251177027825094,0.78571745801077475,1.1827081670396979e-15,-0.014729453985469581,0.0075907174346719897,1.5052588624338281e-15,-4.5776334786023792e-16
