velocity_row,x_index,x0,velocity_parameter,velocity_mode,requested_iterates,completed_iterates,status,last_return_tau,max_return_tau,terminal_tau,elapsed_seconds,terminal_R,terminal_rho,terminal_theta,terminal_v,terminal_w,message
0,342,0.79058522118567554,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,1.3067999999999999e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,343,0.79058593907775854,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.8500000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,344,0.79058665696984154,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.6600000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,345,0.79058737486192454,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.5600000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,346,0.79058809275400754,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,9.1900000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,347,0.79058881064609043,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.1600000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,348,0.79058952853817344,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.3599999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,349,0.79059024643025644,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.5499999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,350,0.79059096432233944,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,4.0499999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,351,0.79059168221442244,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,4.3500000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,352,0.79059240010650533,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,4.6934000000000002e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,353,0.79059311799858834,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.65e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,354,0.79059383589067134,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.7599999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,355,0.79059455378275434,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,4.4499999999999997e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,356,0.79059527167483734,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.46e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,357,0.79059598956692023,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,4.4499999999999997e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,358,0.79059670745900323,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.9499999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,359,0.79059742535108624,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.6600000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,360,0.79059814324316924,-0.96999999999999997,fraction,250,0,outer_limit,nan,0,5.9934444332580687,0.015913331999999999,2.2360679774997898,5.0000000000000009,-0.8037181343995099,59.207464828714116,34.321711678174097,trajectory reached the configured outer_limit radius
1,342,0.79058522118567554,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,2.2469000000000001e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,343,0.79058593907775854,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.96e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,344,0.79058665696984154,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.0699999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,345,0.79058737486192454,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,4.3500000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,346,0.79058809275400754,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.9499999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,347,0.79058881064609043,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.7599999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,348,0.79058952853817344,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,2.7700000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,349,0.79059024643025644,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,4.15e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,350,0.79059096432233944,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.9499999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,351,0.79059168221442244,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,4.3500000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,352,0.79059240010650533,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,4.727e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,353,0.79059311799858834,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.8599999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,354,0.79059383589067134,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,8.2999999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,355,0.79059455378275434,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,6.1200000000000003e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,356,0.79059527167483734,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,5.5400000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,357,0.79059598956692023,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,8.4e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,358,0.79059670745900323,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,9.8899999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,359,0.79059742535108624,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.8599999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,360,0.79059814324316924,-0.95383333333333331,fraction,250,0,outer_limit,nan,0,5.9895418019926101,0.010445054,2.2360679774997911,5.0000000000000062,-0.80371783944381137,59.207482668784444,34.32169776220826,trajectory reached the configured outer_limit radius
2,342,0.79058522118567554,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,2.5740000000000001e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,343,0.79058593907775854,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.9499999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,344,0.79058665696984154,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.7599999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,345,0.79058737486192454,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.7599999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,346,0.79058809275400754,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.8500000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,347,0.79058881064609043,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,7.0200000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,348,0.79058952853817344,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,4.15e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,349,0.79059024643025644,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,4.4499999999999997e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,350,0.79059096432233944,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,4.3500000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,351,0.79059168221442244,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,4.3500000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,352,0.79059240010650533,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,4.8556000000000001e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,353,0.79059311799858834,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,4.5499999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,354,0.79059383589067134,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,2.9700000000000003e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,355,0.79059455378275434,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.9499999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,356,0.79059527167483734,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.46e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,357,0.79059598956692023,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.7599999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,358,0.79059670745900323,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.9499999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,359,0.79059742535108624,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.46e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,360,0.79059814324316924,-0.93766666666666665,fraction,250,0,outer_limit,nan,0,5.9861017350847074,0.013698014999999999,2.2360679774997898,5.0000000000000009,-0.80371759670136589,59.207497369565289,34.321686361175786,trajectory reached the configured outer_limit radius
3,342,0.79058522118567554,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,2.2143000000000001e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,343,0.79058593907775854,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,3.8599999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,344,0.79058665696984154,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,4.15e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,345,0.79058737486192454,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,3.0600000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
