x_index,fraction_index,leaf_path,subdivision_depth,x0_lo,x0_hi,fraction_lo,fraction_hi,admissible,forbidden,resolved,completed_returns,requested_returns,status,event_type,event_index,positive_return_index,tau_lo,tau_hi,clock_lo,clock_hi,x_lo,x_hi,xdot_lo,xdot_hi,ydot_lo,ydot_hi,transversality_lo,transversality_hi,R_lo,R_hi,h_lo,h_hi,event_energy_residual_lo,event_energy_residual_hi,speed_squared_lo,speed_squared_hi,energy_graph_residual_lo,energy_graph_residual_hi,event_scan_nodes,solver_step_retries,message
30,0,r,0,0.78885491791745266,0.78885491791745332,-0.90000000000000013,-0.89999999999999991,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.772224928552589,33.772224928673488,33.772224928552589,33.772224928673488,-2.0656913204328768e-07,-2.0656913200840734e-07,90784599.255800992,90784599.274644509,-432517363.3300181,-432517363.27909321,-0.00022097106401179655,-0.00022097106400341559,0.00099999999998109392,0.0010000000000189061,-2.3915268938607164,-2.3915268938607124,-1.130288993520249e-14,1.1345659918400902e-14,5.1314622679010571e-05,5.1314622679051811e-05,-2.0643886990481808e-17,2.0643886990481808e-17,40527,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
30,1,r,0,0.78885491791745266,0.78885491791745332,-0.84375000000000022,-0.84374999999999978,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.816378621901706,33.816378622025056,33.816378621901706,33.816378622025056,-2.0436802527476299e-07,-2.0436802523950413e-07,89812037.251466349,89812037.27053152,-432720361.21416497,-432720361.16189879,-0.00022097106427480334,-0.00022097106426619659,0.00099999999998058304,0.001000000000019417,-2.3915268938607164,-2.3915268938607124,-1.1413911791082399e-14,1.1248515854415854e-14,5.1314622679010571e-05,5.1314622679051811e-05,-2.0647275122270825e-17,2.0657439517637877e-17,40581,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
30,2,r,0,0.78885491791745266,0.78885491791745332,-0.78750000000000031,-0.78749999999999987,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.859091921934841,33.859091922060756,33.859091921934841,33.859091922060756,-2.0258660147241134e-07,-2.0258660143697969e-07,89024894.222046524,89024894.241253197,-432882987.94702625,-432882987.89336318,-0.00022097106447511232,-0.00022097106446626637,0.00099999999998004181,0.0010000000000199582,-2.3915268938607164,-2.3915268938607124,-1.1372278087941581e-14,1.1262393986270832e-14,5.1314622679010571e-05,5.1314622679051811e-05,-2.0650663254059842e-17,2.0650663254059842e-17,40632,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
30,3,r,0,0.78885491791745266,0.78885491791745332,-0.73125000000000018,-0.73124999999999973,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.901608149590778,33.901608149719941,33.901608149590778,33.901608149719941,-2.0109382312264172e-07,-2.0109382308690461e-07,88365275.909239456,88365275.928675994,-433018118.6272099,-433018118.57176268,-0.00022097106463204487,-0.00022097106462289388,0.00099999999997935161,0.0010000000000206484,-2.3915268938607164,-2.3915268938607124,-1.1177988793487884e-14,1.1484438861862256e-14,5.1314622679010571e-05,5.1314622679051811e-05,-2.0650663254059842e-17,2.0654051385848859e-17,40683,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
30,4,r,0,0.78885491791745266,0.78885491791745332,-0.67500000000000027,-0.67499999999999982,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.944609928545816,33.944609928678091,33.944609928545816,33.944609928678091,-1.9982824275905866e-07,-1.9982824272282987e-07,87806034.17162776,87806034.191374138,-433131866.07516438,-433131866.01798743,-0.0002209710647548132,-0.00022097106474536958,0.00099999999997868938,0.0010000000000213107,-2.3915268938607164,-2.3915268938607124,-1.134452204019648e-14,1.1276272257027543e-14,5.1314622679010571e-05,5.1314622679051811e-05,-2.0643886990481808e-17,2.0650663254059842e-17,40734,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
30,5,r,0,0.78885491791745266,0.78885491791745332,-0.61875000000000024,-0.6187499999999998,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.988569296509333,33.988569296644592,33.988569296509333,33.988569296644592,-1.9875699855899704e-07,-1.9875699852222469e-07,87332650.509944692,87332650.530020341,-433227562.83772194,-433227562.77889472,-0.00022097106484853928,-0.00022097106483881759,0.00099999999997806032,0.0010000000000219397,-2.3915268938607164,-2.3915268938607124,-1.1261255155813702e-14,1.1415050297674555e-14,5.1314622679010571e-05,5.1314622679051811e-05,-2.0650663254059842e-17,2.0650663254059842e-17,40788,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
30,6,r,0,0.78885491791745266,0.78885491791745332,-0.56250000000000022,-0.56249999999999978,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,34.03387062791478,34.033870628053251,34.03387062791478,34.033870628053251,-1.9786171506812114e-07,-1.9786171503096641e-07,86937006.776338369,86937006.79668352,-433307131.1447925,-433307131.08419651,-0.00022097106491627942,-0.00022097106490625632,0.00099999999997737814,0.0010000000000226219,-2.3915268938607164,-2.3915268938607124,-1.1483299647844745e-14,1.1123616872062114e-14,5.1314622679010571e-05,5.1314622679051811e-05,-2.0650663254059842e-17,2.0647275122270825e-17,40842,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
30,7,r,0,0.78885491791745266,0.78885491791745332,-0.5062500000000002,-0.50624999999999976,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,34.080866981705832,34.08086698184735,34.080866981705832,34.08086698184735,-1.97132486584402e-07,-1.9713248654679395e-07,86614726.94851397,86614726.96915558,-433371667.42243868,-433371667.36016774,-0.00022097106495984947,-0.00022097106494954217,0.00099999999997673543,0.0010000000000232648,-2.3915268938607164,-2.3915268938607124,-1.1344521698034339e-14,1.1345661553861637e-14,5.1314622679010571e-05,5.1314622679051811e-05,-2.0647275122270825e-17,2.0650663254059842e-17,40899,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
30,8,r,0,0.78885491791745266,0.78885491791745332,-0.45000000000000018,-0.4499999999999999,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,34.129912479717113,34.129912479861936,34.129912479717113,34.129912479861936,-1.9656496117554327e-07,-1.9656496113740085e-07,86363888.820789292,86363888.841776192,-433421725.06393194,-433421724.99982709,-0.00022097106498033707,-0.00022097106496971896,0.000999999999976032,0.0010000000000239678,-2.3915268938607164,-2.3915268938607124,-1.1275132727015537e-14,1.1456683893929176e-14,5.1314622679010571e-05,5.1314622679051811e-05,-2.0637110726903773e-17,2.0637110726903773e-17,40956,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
30,9,r,0,0.78885491791745266,0.78885491791745332,-0.39375000000000027,-0.39374999999999982,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,34.181385703515872,34.181385703664873,34.181385703515872,34.181385703664873,-1.9615882567850362e-07,-1.9615882563995372e-07,86184354.676756456,86184354.698067099,-433457460.49591303,-433457460.42951745,-0.00022097106497830104,-0.00022097106496729016,0.00099999999997514338,0.0010000000000248567,-2.3915268938607164,-2.3915268938607124,-1.1386155036853624e-14,1.1373417166816739e-14,5.1314622679010571e-05,5.1314622679051811e-05,-2.0640498858692791e-17,2.0647275122270825e-17,41019,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
