velocity_row,x_index,return_index,x0,initial_xdot,initial_ydot,velocity_parameter,velocity_mode,h,hcrit,delta,side,segment_return_tau,cumulative_tau,R,theta,v,w,x,y,xdot,ydot,section_residual,energy_error
13,322,0,0.79071623649081957,-0.001147860117063097,0.00098211593935008902,-0.75983333333333336,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,3.9178113510476047,3.9178113510476047,0.88849694289612413,2.6800651846718097e-22,-0.002706644468923517,0.55436716776531647,0.7894268175357585,2.1157153295238517e-22,-0.0038588988885836541,0.00094180018212974836,2.6800651846718097e-22,-4.5134080423223679e-16
14,321,0,0.79070905756998977,-0.0011173861992398999,0.0010045215607397313,-0.7436666666666667,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,5.084464693534315,5.084464693534315,0.88841195710435716,4.980553729855286e-19,-0.0024731221530978381,0.55533354033349769,0.78927580552599419,3.9310305570970257e-19,-0.0035269750094944902,0.0026978202963052755,4.980553729855286e-19,-4.5159991868725913e-16
15,319,0,0.79069469972833017,-0.0010819761801120222,0.0010204153510533353,-0.72750000000000004,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,4.1163109149539965,4.1163109149539965,0.88837942471252362,0,-0.0030625285026949149,0.55439855656689452,0.78921800225255445,0,-0.00436802046800089,0.0015090849838262921,0,-4.5169915311466314e-16
16,318,0,0.79068752080750038,-0.0010528558885901649,0.0010403066952750207,-0.71133333333333337,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,5.1147088842465411,5.1147088842465411,0.88843524529724216,-8.4703294725430034e-22,-0.0023670343744326612,0.55539545189947981,0.78931718508637083,-6.6857766160217676e-22,-0.0033754153981949589,0.0026824498484973036,-8.4703294725430034e-22,-4.5152889770805868e-16
17,316,0,0.79067316296584067,-0.0010197252962120009,0.0010544638196280719,-0.69516666666666671,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,3.934741040120096,3.934741040120096,0.88846990033996409,0,-0.0027923023307449253,0.5543667273509757,0.78937876381010574,0,-0.003981385962208493,0.0010613980192971662,0,-9.0284647173548365e-16
18,315,0,0.79066598404501087,-0.00099187472402252792,0.0010724200210645886,-0.67900000000000005,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,4.5545394829085648,4.5545394829085648,0.88827358295707859,0,-0.0032389305791186802,0.55470408071053379,0.78902995817940602,0,-0.0046212706082780835,0.0024157372010180644,0,-4.5202218112770546e-16
20,312,0,0.79064444728252148,-0.00093422323303037709,0.0011019587573991982,-0.64666666666666672,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,3.9244100699807301,3.9244100699807301,0.88846555221179679,5.2939559203393771e-23,-0.0028060760393175577,0.55436639015003342,0.78937103746701298,4.1788954771429296e-23,-0.0040010838572659361,0.0010802487994582277,5.2939559203393771e-23,-9.0287298310801126e-16
21,311,0,0.79063726836169168,-0.00090794416031003819,0.001117742261333949,-0.63050000000000006,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,4.3415232753768347,4.3415232753768347,0.88829232854693874,0,-0.0032675724151966438,0.55453450359833745,0.78906326095534252,0,-0.0046618413174069149,0.0020903945167084492,0,-4.5196495013434996e-16
22,310,0,0.79063008944086188,-0.00088204427232979805,0.0011328931815276092,-0.6143333333333334,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,4.8223174894270766,4.8223174894270766,0.88832064059886007,1.5129736385174203e-15,-0.0029165637780403952,0.55503731279087476,0.78911356051396908,1.1939080148542562e-15,-0.004160659907092858,0.0026817404004357837,1.5129736385174203e-15,-4.5187852839637498e-16
24,307,0,0.79060855267837249,-0.00082949852531374955,0.0011590015428415677,-0.58199999999999996,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,3.6449525579434927,3.6449525579434927,0.88864604380334988,1.7357557973812733e-20,-0.00221380547997139,0.55440440246468259,0.78969179116734523,1.3707121046631212e-20,-0.003154663368269783,0.0003321181082946989,1.7357557973812733e-20,-4.5088662721267727e-16
25,306,0,0.79060137375754269,-0.00080490648385602521,0.0011728916736649048,-0.5658333333333333,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,3.9635498711109798,3.9635498711109798,0.88842779642646597,0,-0.0029222548017198268,0.5543725610492457,0.78930394946318605,0,-0.0041672702637647668,0.0012569172168896969,0,-4.5155161278467556e-16
26,305,0,0.79059419483671278,-0.00078061586759210094,0.0011863809565491885,-0.54966666666666664,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,4.1747867046177038,4.1747867046177038,0.88833069207777915,0,-0.003191861606492272,0.55444591462749349,0.7891314184873861,0,-0.0045532348448313166,0.0017933675125375581,0,-4.5184785117856926e-16
27,304,0,0.79058701591588298,-0.00075660893101138819,0.0011995124330826344,-0.53349999999999997,fraction,-2.3915358938607136,-2.3915368938607138,9.9999999999999995e-07,open,4.3655989524001244,4.3655989524001244,0.88828259114218477,0,-0.0032773099810629999,0.554574815813485,0.78904596172627384,0,-0.0046758876586465836,0.0021912273227130408,0,-4.5199467774339339e-16
