velocity_row,x_index,x0,velocity_parameter,velocity_mode,requested_iterates,completed_iterates,status,last_return_tau,max_return_tau,terminal_tau,elapsed_seconds,terminal_R,terminal_rho,terminal_theta,terminal_v,terminal_w,message
0,342,0.79360575212481688,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,1.4312e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,343,0.79367754133311497,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,9.7600000000000006e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,344,0.79374933054141295,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,5.8400000000000004e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,345,0.79382111974971103,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,5.2399999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,346,0.79389290895800912,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.72e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,347,0.79396469816630721,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,2.8099999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,348,0.7940364873746053,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.2099999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,349,0.79410827658290328,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,6.13e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,350,0.79418006579120137,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.6100000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,351,0.79425185499949946,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.5199999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,352,0.79432364420779755,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,4.6304999999999998e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,353,0.79439543341609564,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.8200000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,354,0.79446722262439373,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.72e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,355,0.79453901183269171,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.6199999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,356,0.7946108010409898,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.72e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,357,0.79468259024928789,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,5.1200000000000003e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,358,0.79475437945758598,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,4.01e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,359,0.79482616866588407,-0.96999999999999997,fraction,250,0,forbidden,nan,0,nan,3.9200000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
0,360,0.79489795787418205,-0.96999999999999997,fraction,250,0,outer_limit,nan,0,3.0359553516078686,0.0096795549999999994,2.2360679774997898,5.0000000000000009,-0.80545418200385943,59.101682997557489,34.402446359811037,trajectory reached the configured outer_limit radius
1,342,0.79360575212481688,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,5.9976999999999999e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,343,0.79367754133311497,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.9099999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,344,0.79374933054141295,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.3099999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,345,0.79382111974971103,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,4.0200000000000003e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,346,0.79389290895800912,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.41e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,347,0.79396469816630721,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,4.6199999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,348,0.7940364873746053,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.7099999999999997e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,349,0.79410827658290328,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,7.4300000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,350,0.79418006579120137,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,4.82e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,351,0.79425185499949946,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.7099999999999997e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,352,0.79432364420779755,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,5.0427999999999999e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,353,0.79439543341609564,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,5.0299999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,354,0.79446722262439373,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,4.0200000000000003e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,355,0.79453901183269171,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.72e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,356,0.7946108010409898,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.9200000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,357,0.79468259024928789,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,3.6199999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,358,0.79475437945758598,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,8.2399999999999997e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,359,0.79482616866588407,-0.95383333333333331,fraction,250,0,forbidden,nan,0,nan,6.0299999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
1,360,0.79489795787418205,-0.95383333333333331,fraction,250,0,outer_limit,nan,0,3.0326462459131465,0.0069497090000000001,2.2360679774997898,5.0000000000000009,-0.80547847732545252,59.100180046786249,34.403511502793464,trajectory reached the configured outer_limit radius
2,342,0.79360575212481688,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,2.7966e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,343,0.79367754133311497,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.9200000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,344,0.79374933054141295,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,7.8400000000000003e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,345,0.79382111974971103,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,5.1200000000000003e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,346,0.79389290895800912,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.7099999999999997e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,347,0.79396469816630721,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.8200000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,348,0.7940364873746053,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.4200000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,349,0.79410827658290328,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.7099999999999997e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,350,0.79418006579120137,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.8200000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,351,0.79425185499949946,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.8099999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,352,0.79432364420779755,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.7669999999999997e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,353,0.79439543341609564,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,8.0299999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,354,0.79446722262439373,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.9200000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,355,0.79453901183269171,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,4.2199999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,356,0.7946108010409898,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,3.8200000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,357,0.79468259024928789,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,4.4200000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,358,0.79475437945758598,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,4.4200000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,359,0.79482616866588407,-0.93766666666666665,fraction,250,0,forbidden,nan,0,nan,4.6199999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
2,360,0.79489795787418205,-0.93766666666666665,fraction,250,0,outer_limit,nan,0,3.0297286228583804,0.0086634850000000003,2.2360679774997911,5.0000000000000062,-0.8054984483686437,59.09894311421705,34.404383079682177,trajectory reached the configured outer_limit radius
3,342,0.79360575212481688,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,2.2582000000000002e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,343,0.79367754133311497,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,3.9200000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,344,0.79374933054141295,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,3.8099999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,345,0.79382111974971103,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,5.9299999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,346,0.79389290895800912,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,3.7099999999999997e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,347,0.79396469816630721,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,5.6300000000000005e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,348,0.7940364873746053,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,3.8099999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,349,0.79410827658290328,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,3.5199999999999998e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,350,0.79418006579120137,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,4.2100000000000002e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,351,0.79425185499949946,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,3.8200000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,352,0.79432364420779755,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,3.9196999999999998e-05,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,353,0.79439543341609564,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,3.9099999999999999e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,354,0.79446722262439373,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,5.7299999999999996e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
3,355,0.79453901183269171,-0.92149999999999999,fraction,250,0,forbidden,nan,0,nan,4.4200000000000001e-07,nan,nan,nan,nan,nan,initial position is outside the energy-allowed region
