x_index,fraction_index,leaf_path,subdivision_depth,x0_lo,x0_hi,fraction_lo,fraction_hi,admissible,forbidden,resolved,completed_returns,requested_returns,status,event_type,event_index,positive_return_index,tau_lo,tau_hi,clock_lo,clock_hi,x_lo,x_hi,xdot_lo,xdot_hi,ydot_lo,ydot_hi,transversality_lo,transversality_hi,R_lo,R_hi,h_lo,h_hi,event_energy_residual_lo,event_energy_residual_hi,speed_squared_lo,speed_squared_hi,energy_graph_residual_lo,energy_graph_residual_hi,event_scan_nodes,solver_step_retries,message
12,0,r,0,0.78579529077900034,0.78579529077900123,-0.90000000000000013,-0.89999999999999991,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.187394615638304,33.187394615733638,33.187394615638304,33.187394615733638,-2.153776640406609e-07,-2.1537766400902734e-07,94676735.960090384,94676735.976651847,-431682092.17680645,-431682092.1395129,-0.00022097106298268513,-0.00022097106297663634,0.0009999999999863768,0.0010000000000136232,-2.3915468938607161,-2.3915468938607121,-1.3176392998588095e-14,1.1706480649810726e-14,0.00022642581650086796,0.00022642581650100888,-7.0554456374494201e-17,7.056800890165027e-17,39825,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,1,r,0,0.78579529077900034,0.78579529077900123,-0.84375000000000022,-0.84374999999999978,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.223616683000181,33.223616683096758,33.223616683000181,33.223616683096758,-2.1192823979883668e-07,-2.1192823976705457e-07,93152827.671048939,93152827.687680349,-432013499.48282903,-432013499.44488603,-0.00022097106354175276,-0.0002209710635355943,0.00099999999998612896,0.0010000000000138711,-2.3915468938607161,-2.3915468938607121,-1.3564970107000138e-14,1.1442803633651547e-14,0.00022642581650086796,0.00022642581650100888,-7.0595113955962407e-17,7.0622219010274545e-17,39870,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,2,r,0,0.78579529077900034,0.78579529077900123,-0.78750000000000031,-0.78749999999999987,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.258189220945951,33.258189221043985,33.258189220945951,33.258189221043985,-2.0888309109965495e-07,-2.0888309106762422e-07,91807483.78188777,91807483.798646063,-432301398.28655726,-432301398.24782884,-0.00022097106400709906,-0.00022097106400080876,0.00099999999998583037,0.0010000000000141697,-2.3915468938607161,-2.3915468938607121,-1.3259657983386763e-14,1.1664849032806892e-14,0.00022642581650086796,0.00022642581650100888,-7.0608666483118476e-17,7.0608666483118476e-17,39912,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,3,r,0,0.78579529077900034,0.78579529077900123,-0.73125000000000018,-0.73124999999999973,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.292146504399355,33.292146504498255,33.292146504399355,33.292146504498255,-2.0610700790677024e-07,-2.0610700787460742e-07,90580982.504643202,90580982.521456525,-432560052.07091576,-432560052.03172415,-0.00022097106440936034,-0.00022097106440299266,0.00099999999998565538,0.0010000000000143447,-2.3915468938607161,-2.3915468938607121,-1.3412312963433369e-14,1.1526071841967204e-14,0.00022642581650086796,0.00022642581650100888,-7.0581561428806339e-17,7.0608666483118476e-17,39951,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,4,r,0,0.78579529077900034,0.78579529077900123,-0.67500000000000027,-0.67499999999999982,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.326025829346769,33.326025829446586,33.326025829346769,33.326025829446586,-2.0353919996150039e-07,-2.0353919992924357e-07,89446473.883388862,89446473.90024294,-432796073.62955022,-432796073.58989042,-0.00022097106476309924,-0.00022097106475665242,0.00099999999998547713,0.0010000000000145227,-2.3915468938607161,-2.3915468938607121,-1.3828645993910371e-14,1.1498316871534969e-14,0.00022642581650086796,0.00022642581650100888,-7.0581561428806339e-17,7.0581561428806339e-17,39993,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,5,r,0,0.78579529077900034,0.78579529077900123,-0.61875000000000024,-0.6187499999999998,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.360168578598547,33.360168578699756,33.360168578598547,33.360168578699756,-2.0114898815524095e-07,-2.0114898812279641e-07,88390408.238361835,88390408.255318165,-433012989.14827371,-433012989.10786849,-0.00022097106507630511,-0.0002209710650697323,0.0009999999999851922,0.0010000000000148078,-2.3915468938607161,-2.3915468938607121,-1.3634356429992488e-14,1.1692606437732857e-14,0.00022642581650086796,0.00022642581650100888,-7.0581561428806339e-17,7.0581561428806339e-17,40035,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,6,r,0,0.78579529077900034,0.78579529077900123,-0.56250000000000022,-0.56249999999999978,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.394823996328917,33.394823996431221,33.394823996328917,33.394823996431221,-1.9892071774857608e-07,-1.9892071771592566e-07,87405872.239378408,87405872.256435618,-433212795.9075256,-433212795.86652404,-0.00022097106535363438,-0.00022097106534696206,0.00099999999998496669,0.0010000000000150334,-2.3915468938607161,-2.3915468938607121,-1.3370677987690326e-14,1.1845262579376717e-14,0.00022642581650086796,0.00022642581650100888,-7.0595113955962407e-17,7.056800890165027e-17,40074,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,7,r,0,0.78579529077900034,0.78579529077900123,-0.5062500000000002,-0.50624999999999976,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.430194256739028,33.430194256842448,33.430194256739028,33.430194256842448,-1.9684736196818931e-07,-1.9684736193536668e-07,86489763.602116615,86489763.61925976,-433396624.15881348,-433396624.1172381,-0.00022097106559793486,-0.0002209710655911663,0.0009999999999847492,0.0010000000000152511,-2.3915468938607161,-2.3915468938607121,-1.3578844387020348e-14,1.1678729545210939e-14,0.00022642581650086796,0.00022642581650100888,-7.0595113955962407e-17,7.056800890165027e-17,40119,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,8,r,0,0.78579529077900034,0.78579529077900123,-0.45000000000000018,-0.4499999999999999,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.466457364852253,33.46645736495686,33.466457364852253,33.46645736495686,-1.949274179277988e-07,-1.9492741789479723e-07,85641420.030327946,85641420.04756555,-433565058.8039661,-433565058.76175052,-0.00022097106581089364,-0.00022097106580401768,0.00099999999998450482,0.001000000000015495,-2.3915468938607161,-2.3915468938607121,-1.3093121449518179e-14,1.1706485487008283e-14,0.00022642581650086796,0.00022642581650100888,-7.0554456374494201e-17,7.0540903847338132e-17,40161,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,9,r,0,0.78579529077900034,0.78579529077900123,-0.39375000000000027,-0.39374999999999982,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.503780357041343,33.503780357146915,33.503780357041343,33.503780357146915,-1.9316326076293402e-07,-1.9316326072985349e-07,84861892.261794522,84861892.279074669,-433718309.830787,-433718309.7880792,-0.00022097106599339457,-0.00022097106598643502,0.00099999999998431617,0.0010000000000156839,-2.3915468938607161,-2.3915468938607121,-1.3342921317628322e-14,1.1623219074102087e-14,0.00022642581650086796,0.00022642581650100888,-7.0554456374494201e-17,7.056800890165027e-17,40206,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,10,r,0,0.78579529077900034,0.78579529077900123,-0.33750000000000019,-0.33749999999999986,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.542327844433423,33.542327844540168,33.542327844433423,33.542327844540168,-1.9156021975786878e-07,-1.9156021972455747e-07,84153536.023854077,84153536.041253746,-433856307.33653098,-433856307.29319274,-0.00022097106614580951,-0.00022097106613874475,0.00099999999998407786,0.0010000000000159222,-2.3915468938607161,-2.3915468938607121,-1.3356798844717535e-14,1.1539952609880405e-14,0.00022642581650086796,0.00022642581650100888,-7.0554456374494201e-17,7.0554456374494201e-17,40251,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,11,r,0,0.78579529077900034,0.78579529077900123,-0.28125000000000022,-0.28124999999999978,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.582268215966273,33.582268216074539,33.582268215966273,33.582268216074539,-1.9012604321361722e-07,-1.9012604318020908e-07,83519775.701474234,83519775.718947962,-433978755.36498481,-433978755.32084566,-0.00022097106626807722,-0.00022097106626087505,0.00099999999998376821,0.0010000000000162318,-2.3915468938607161,-2.3915468938607121,-1.3731498906802548e-14,1.1637097335737988e-14,0.00022642581650086796,0.00022642581650100888,-7.056800890165027e-17,7.056800890165027e-17,40299,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,12,r,0,0.78579529077900034,0.78579529077900123,-0.22500000000000014,-0.22499999999999981,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.623778686222835,33.623778686332798,33.623778686222835,33.623778686332798,-1.8887058624294705e-07,-1.8887058620929491e-07,82964966.476512358,82964966.494133085,-434085161.43645632,-434085161.39140821,-0.00022097106635980002,-0.00022097106635244427,0.0009999999999834204,0.0010000000000165796,-2.3915468938607161,-2.3915468938607121,-1.3453942994513904e-14,1.1803630948346573e-14,0.00022642581650086796,0.00022642581650100888,-7.0554456374494201e-17,7.0540903847338132e-17,40350,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,13,r,0,0.78579529077900034,0.78579529077900123,-0.16875000000000023,-0.16874999999999984,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.667049860646685,33.667049860758922,33.667049860646685,33.667049860758922,-1.8780563166663591e-07,-1.8780563163260525e-07,82494315.26468046,82494315.282530844,-434174850.71260154,-434174850.66630614,-0.00022097106642034712,-0.00022097106641278121,0.00099999999998294357,0.0010000000000170565,-2.3915468938607161,-2.3915468938607121,-1.3093120409502562e-14,1.1650975388284001e-14,0.00022642581650086796,0.00022642581650100888,-7.0540903847338132e-17,7.0527351320182063e-17,40401,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,14,r,0,0.78579529077900034,0.78579529077900123,-0.11250000000000016,-0.11249999999999977,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.71229024483609,33.712290244950715,33.71229024483609,33.712290244950715,-1.8694479049679095e-07,-1.8694479046247881e-07,82113836.812825769,82113836.830869347,-434246969.87628239,-434246969.82868874,-0.00022097106644883334,-0.0002209710664410462,0.00099999999998244419,0.0010000000000175559,-2.3915468938607161,-2.3915468938607121,-1.3329042755440137e-14,1.1886897831806672e-14,0.00022642581650086796,0.00022642581650100888,-7.0540903847338132e-17,7.0554456374494201e-17,40455,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,15,r,0,0.78579529077900034,0.78579529077900123,-0.056250000000000133,-0.0562499999999998,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.75973100274922,33.759731002866559,33.75973100274922,33.759731002866559,-1.8630344558876394e-07,-1.8630344555401966e-07,81830328.871639103,81830328.889956206,-434300483.90515161,-434300483.85606807,-0.0002209710664442354,-0.00022097106643619713,0.00099999999998187303,0.001000000000018127,-2.3915468938607161,-2.3915468938607121,-1.2371475407109165e-14,1.172036437227458e-14,0.00022642581650086796,0.00022642581650100888,-7.0540903847338132e-17,7.0527351320182063e-17,40512,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,16,r,0,0.78579529077900034,0.78579529077900123,-1.1102230246251565e-16,1.1102230246251565e-16,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.809631206466022,33.809631206585976,33.809631206466022,33.809631206585976,-1.8589870838385221e-07,-1.8589870834856985e-07,81651353.160443768,81651353.179080293,-434334168.09083778,-434334168.04032135,-0.00022097106640536892,-0.00022097106639709099,0.00099999999998132702,0.001000000000018673,-2.3915468938607161,-2.3915468938607121,-1.1177985724857163e-14,1.1456686339073618e-14,0.00022642581650086796,0.00022642581650100888,-7.0527351320182063e-17,7.0500246265869926e-17,40572,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,17,r,0,0.78579529077900034,0.78579529077900123,0.0562499999999998,0.056250000000000133,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.86228378269643,33.862283782819787,33.86228378269643,33.862283782819787,-1.8574935747023519e-07,-1.8574935743402453e-07,81585208.310167238,81585208.329328746,-434346597.58062714,-434346597.5281992,-0.00022097106633103196,-0.00022097106632243516,0.00099999999998060711,0.0010000000000193929,-2.3915468938607161,-2.3915468938607121,-1.1594319490041205e-14,1.1664853031000815e-14,0.00022642581650086796,0.00022642581650100888,-7.0540903847338132e-17,7.0527351320182063e-17,40635,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,18,r,0,0.78579529077900034,0.78579529077900123,0.11249999999999977,0.11250000000000016,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.918022321386893,33.918022321514329,33.918022321386893,33.918022321514329,-1.8587571935650249e-07,-1.8587571931948439e-07,81640877.291776076,81640877.311436623,-434336137.34163195,-434336137.28694427,-0.00022097106621994726,-0.0002209710662109696,0.00099999999997974517,0.0010000000000202549,-2.3915468938607161,-2.3915468938607121,-1.1524930745688067e-14,1.1637097267595005e-14,0.00022642581650086796,0.00022642581650100888,-7.0540903847338132e-17,7.0554456374494201e-17,40704,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,19,r,0,0.78579529077900034,0.78579529077900123,0.16874999999999984,0.16875000000000023,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,33.977228834818831,33.977228834950857,33.977228834818831,33.977228834950857,-1.8629943469804322e-07,-1.8629943466024911e-07,81827924.254910365,81827924.27508086,-434300936.97690165,-434300936.91965908,-0.00022097106607090112,-0.00022097106606149049,0.00099999999997876484,0.001000000000021235,-2.3915468938607161,-2.3915468938607121,-1.1483297642596916e-14,1.1498319137026455e-14,0.00022642581650086796,0.00022642581650100888,-7.0540903847338132e-17,7.0527351320182063e-17,40773,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,20,r,0,0.78579529077900034,0.78579529077900123,0.22499999999999981,0.22500000000000014,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,34.040342380248909,34.04034238038664,34.040342380248909,34.04034238038664,-1.8704302323820445e-07,-1.8704302320005721e-07,82156302.460398346,82156302.480937421,-434238937.69931573,-434238937.63895702,-0.00022097106588289385,-0.000220971065872946,0.00099999999997754858,0.0010000000000224515,-2.3915468938607161,-2.3915468938607121,-1.134452009263363e-14,1.1345663152756151e-14,0.00022642581650086796,0.00022642581650100888,-7.0554456374494201e-17,7.0540903847338132e-17,40851,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
12,21,r,0,0.78579529077900034,0.78579529077900123,0.28124999999999978,0.28125000000000022,1,0,1,0,1,validated_inner_limit_inward,validated_inner_limit_inward,0,-1,34.107868061897108,34.107868062041724,34.107868061897108,34.107868062041724,-1.8812911077922516e-07,-1.8812911074010717e-07,82636012.916690171,82636012.937922984,-434147903.85192227,-434147903.78773165,-0.00022097106565526772,-0.00022097106564466606,0.00099999999997606929,0.001000000000023931,-2.3915468938607161,-2.3915468938607121,-1.1372276065266491e-14,1.1304029404150502e-14,0.00022642581650086796,0.00022642581650100888,-7.056800890165027e-17,7.056800890165027e-17,40932,0,validated_inner_limit_inward: first event is the inner study limit; this is not a collision proof
