x_index,fraction_index,leaf_path,subdivision_depth,x0_lo,x0_hi,fraction_lo,fraction_hi,admissible,forbidden,resolved,completed_returns,requested_returns,status,event_type,event_index,positive_return_index,tau_lo,tau_hi,clock_lo,clock_hi,x_lo,x_hi,xdot_lo,xdot_hi,ydot_lo,ydot_hi,transversality_lo,transversality_hi,R_lo,R_hi,h_lo,h_hi,event_energy_residual_lo,event_energy_residual_hi,speed_squared_lo,speed_squared_hi,energy_graph_residual_lo,energy_graph_residual_hi,event_scan_nodes,solver_step_retries,message
75,0,r,0,0.79114963827129181,0.79114963827129259,-0.90000000000000013,-0.89999999999999991,1,0,1,0,1,validated_outer_limit_outward,validated_negative_half_crossing,0,0,1.7121207376668091,1.7121207380446211,1.7121207376668091,1.7121207380446211,0.79283447767153425,0.792834477673938,0.006662203090128732,0.0066622030964176241,-0.0034457858676225925,-0.0034457858597973772,-0.0034457858676225925,-0.0034457858597973772,0.8904125322969878,0.8904125322983375,-2.3915367938607162,-2.3915367938607122,-1.1572076630272932e-11,1.1572298674877857e-11,4.0253647863937826e-06,4.0253647864095307e-06,-7.8761358600441117e-18,7.8752888270968574e-18,5787,0,validated_negative_half_crossing: trajectory box reached the outer study limit; this is not an escape proof
75,0,r,0,0.79114963827129181,0.79114963827129259,-0.90000000000000013,-0.89999999999999991,1,0,1,0,1,validated_outer_limit_outward,validated_outer_limit_outward,1,-1,4.820773088382138,4.8207730894044891,4.820773088382138,4.8207730894044891,3.4700520050396984,3.4700523915135264,2.2864088538275538,2.2864112234572169,-5.1516618892514874,-5.15166000086991,66.197589003987829,66.197603016754172,2.2360679348773842,2.2360680201221959,-2.3915367938607162,-2.3915367938607122,-0.0013602717145317911,0.001360271652913525,4.0253647863937826e-06,4.0253647864095307e-06,-7.8761358600441117e-18,7.8752888270968574e-18,5787,0,validated_outer_limit_outward: trajectory box reached the outer study limit; this is not an escape proof
75,1,r,0,0.79114963827129181,0.79114963827129259,-0.84375000000000022,-0.84374999999999978,1,0,1,0,1,validated_outer_limit_outward,validated_negative_half_crossing,0,0,1.6426575548790203,1.6426575551987566,1.6426575548790203,1.6426575551987566,0.79306532580055911,0.79306532580277611,0.0073683354371557111,0.0073683354429251733,-0.0037248849256366953,-0.0037248849184401173,-0.0037248849256366953,-0.0037248849184401173,0.89054215273649973,0.8905421527377444,-2.3915367938607162,-2.3915367938607122,-1.0673240069536405e-11,1.0672795980326555e-11,4.0253647863937826e-06,4.0253647864095307e-06,-7.8765593765177389e-18,7.8765593765177389e-18,5628,0,validated_negative_half_crossing: trajectory box reached the outer study limit; this is not an escape proof
75,1,r,0,0.79114963827129181,0.79114963827129259,-0.84375000000000022,-0.84374999999999978,1,0,1,0,1,validated_outer_limit_outward,validated_outer_limit_outward,1,-1,4.6868823366183845,4.686882337476435,4.6868823366183845,4.686882337476435,3.4698436283558025,3.469843956454572,2.2861684617953881,2.2861704578192565,-5.1513550319456662,-5.151353437524242,66.194138713709833,66.194150481700504,2.2360679419083311,2.2360680130912494,-2.3915367938607162,-2.3915367938607122,-0.0011407407811816483,0.0011407407338879239,4.0253647863937826e-06,4.0253647864095307e-06,-7.8765593765177389e-18,7.8765593765177389e-18,5628,0,validated_outer_limit_outward: trajectory box reached the outer study limit; this is not an escape proof
75,2,r,0,0.79114963827129181,0.79114963827129259,-0.78750000000000031,-0.78749999999999987,1,0,1,0,1,validated_outer_limit_outward,validated_negative_half_crossing,0,0,1.5888425666118129,1.5888425668963782,1.5888425666118129,1.5888425668963782,0.79324487111844955,0.79324487112054309,0.0079233492684531517,0.0079233492738814935,-0.0039293308641913036,-0.0039293308574113025,-0.0039293308641913036,-0.0039293308574113025,0.89064295378027303,0.89064295378144831,-2.3915367938607162,-2.3915367938607122,-1.0078826662152096e-11,1.0078160528337321e-11,4.0253647863937826e-06,4.0253647864095307e-06,-7.8765593765177389e-18,7.8761358600441117e-18,5508,0,validated_negative_half_crossing: trajectory box reached the outer study limit; this is not an escape proof
75,2,r,0,0.79114963827129181,0.79114963827129259,-0.78750000000000031,-0.78749999999999987,1,0,1,0,1,validated_outer_limit_outward,validated_outer_limit_outward,1,-1,4.5866280160494313,4.5866280168034281,4.5866280160494313,4.5866280168034281,3.4696615962723456,3.4696618703212554,2.2859440566004658,2.2859457582486331,-5.1510933554534457,-5.1510920045401685,66.19105679714481,66.191066912478774,2.2360679464674402,2.2360680085321403,-2.3915367938607162,-2.3915367938607122,-0.00098365071869466192,0.0009836506788474253,4.0253647863937826e-06,4.0253647864095307e-06,-7.8765593765177389e-18,7.8761358600441117e-18,5508,0,validated_outer_limit_outward: trajectory box reached the outer study limit; this is not an escape proof
75,3,r,0,0.79114963827129181,0.79114963827129259,-0.73125000000000018,-0.73124999999999973,1,0,1,0,1,validated_outer_limit_outward,validated_negative_half_crossing,0,0,1.5438968026282918,1.5438968028883515,1.5438968026282918,1.5438968028883515,0.79339067047536116,0.79339067047736023,0.0083787023466258062,0.0083787023517859233,-0.0040849993099655695,-0.0040849993035102349,-0.0040849993099655695,-0.0040849993035102349,0.89072480064010862,0.89072480064123072,-2.3915367938607162,-2.3915367938607122,-9.6209706867966815e-12,9.6207486421917565e-12,4.0253647863937826e-06,4.0253647864095307e-06,-7.8765593765177389e-18,7.8765593765177389e-18,5409,0,validated_negative_half_crossing: trajectory box reached the outer study limit; this is not an escape proof
75,3,r,0,0.79114963827129181,0.79114963827129259,-0.73125000000000018,-0.73124999999999973,1,0,1,0,1,validated_outer_limit_outward,validated_outer_limit_outward,1,-1,4.5059461223787434,4.5059461230652165,4.5059461223787434,4.5059461230652165,3.4694996093474684,3.4694998709875979,2.2857351280276319,2.2857367145286793,-5.1508646589460652,-5.1508633903883441,66.188270993274656,66.18828033578923,2.2360679493143882,2.2360680056851918,-2.3915367938607162,-2.3915367938607122,-0.00090498516897241643,0.00090498512844305878,4.0253647863937826e-06,4.0253647864095307e-06,-7.8765593765177389e-18,7.8765593765177389e-18,5409,0,validated_outer_limit_outward: trajectory box reached the outer study limit; this is not an escape proof
75,4,r,0,0.79114963827129181,0.79114963827129259,-0.67500000000000027,-0.67499999999999982,1,0,1,0,1,validated_outer_limit_outward,validated_negative_half_crossing,0,0,1.5046759906440252,1.5046759908855172,1.5046759906440252,1.5046759908855172,0.79351149571266477,0.79351149571458757,0.0087601288184547439,0.0087601288233959025,-0.0042048110945670045,-0.0042048110883722975,-0.0042048110945670045,-0.0042048110883722975,0.89079262217009003,0.89079262217116928,-2.3915367938607162,-2.3915367938607122,-9.2519325534112795e-12,9.2517105088063545e-12,4.0253647863937826e-06,4.0253647864095307e-06,-7.8765593765177389e-18,7.8761358600441117e-18,5328,0,validated_negative_half_crossing: trajectory box reached the outer study limit; this is not an escape proof
75,4,r,0,0.79114963827129181,0.79114963827129259,-0.67500000000000027,-0.67499999999999982,1,0,1,0,1,validated_outer_limit_outward,validated_outer_limit_outward,1,-1,4.4382477951024546,4.438247795733294,4.4382477951024546,4.438247795733294,3.4693541097333025,3.4693543423573079,2.2855409206067638,2.2855423490101914,-5.1506621063001496,-5.150660968486851,66.185737794302682,66.185746244642786,2.2360679517673283,2.2360680032322513,-2.3915367938607162,-2.3915367938607122,-0.00082062547244277084,0.00082062544282734962,4.0253647863937826e-06,4.0253647864095307e-06,-7.8765593765177389e-18,7.8761358600441117e-18,5328,0,validated_outer_limit_outward: trajectory box reached the outer study limit; this is not an escape proof
